"Tanggal","temp_avg","hum_avg","wind_avg","rainfall","sunshine"
"24-02-2015","26.4","81","2","0","6.3"
"25-02-2015","26.7","82","2","","9.6"
"26-02-2015","26.5","80","1","","6.7"
"27-02-2015","26.3","86","2","","6.5"
"28-02-2015","25.6","88","2","18.7","4.2"
"01-03-2015","25.2","89","2","3.2",""
"02-03-2015","25.6","83","3","","3.8"
"03-03-2015","26.1","83","2","0.4","6"
"04-03-2015","25","82","3","2.6","3.6"
"05-03-2015","25.2","83","2","0","1.9"
"06-03-2015","26.5","76","2","","6.7"
"07-03-2015","25.7","84","3","2.4",""
"08-03-2015","25.6","82","2","","3.4"
"09-03-2015","25.7","83","1","2.6","0.9"
"10-03-2015","25.8","81","3","6.7","4.7"
"11-03-2015","24","95","2","","3.7"
"12-03-2015","24.7","92","2","23.4","2.4"
"13-03-2015","25.9","88","2","5.8","4.4"
"14-03-2015","25.2","88","3","","1"
"15-03-2015","24.7","92","2","32.7","1.3"
"16-03-2015","25.4","88","1","14.6","4.1"
"17-03-2015","26","84","2","8.4","5.9"
"18-03-2015","25.9","84","2","","8.3"
"19-03-2015","26.4","84","2","",""
"20-03-2015","26","86","2","23.2","5.7"
"21-03-2015","","","","",""
"22-03-2015","24.9","87","3","62.6","3.5"
"23-03-2015","","","","",""
"24-03-2015","25.9","89","1","26.5","8.3"
"25-03-2015","24.3","93","2","19","3.5"
"26-03-2015","25","91","1","0.2","4.4"
"27-03-2015","26.4","86","2","1.6","3.6"
"28-03-2015","25.7","85","2","42","9.3"
"29-03-2015","27.2","80","1","","7"
"30-03-2015","27.2","83","2","","6.3"
"31-03-2015","25.9","88","2","7","6.3"
"01-04-2015","26.6","90","2","48","7.6"
"02-04-2015","25.7","90","1","0.2","5.4"
"03-04-2015","","","2","19.5","4.3"
"04-04-2015","25.5","89","2","0.2","4.4"
"05-04-2015","","","1","1.4","4.1"
"06-04-2015","26.1","85","2","9.2","6.3"
"07-04-2015","25.3","90","2","10.6","7.5"
"08-04-2015","25.7","88","1","23.6","4.4"
"09-04-2015","26.2","86","1","3.4","5.1"
"10-04-2015","26.8","83","2","13.7","3.4"
"11-04-2015","27.4","82","2","8888","8.5"
"12-04-2015","26.5","83","2","","6.5"
"13-04-2015","25.5","87","1","","7.1"
"14-04-2015","","","","",""
"15-04-2015","","","2","1.5","4.8"
"16-04-2015","","","","",""
"17-04-2015","","","1","16.3","3.4"
"18-04-2015","25.8","91","1","8888","0.4"
"19-04-2015","25.6","85","2","","3.5"
"20-04-2015","","","","",""
"21-04-2015","26.2","83","3","","5.3"
"22-04-2015","26.3","84","2","0.4","7.5"
"23-04-2015","","","","",""
"24-04-2015","","","","",""
"25-04-2015","","","2","36.6","0"
"26-04-2015","","","1","4.8","0.5"
"27-04-2015","","","3","","5.5"
"28-04-2015","26.2","84","2","4.5","5.8"
"29-04-2015","","","3","","6.2"
"30-04-2015","26.9","81","1","","7.2"
"01-05-2015","25.8","85","2","","8.3"
"02-05-2015","26.7","82","1","","5.7"
"03-05-2015","25.5","88","1","0.3","5.2"
"04-05-2015","25.3","87","1","26.4","2"
"05-05-2015","25.3","86","2","0.3","5.6"
"06-05-2015","26.3","82","1","1","7"
"07-05-2015","26.9","86","1","11","8.8"
"08-05-2015","27.3","78","2","0.3","5.9"
